cluster,s1_read_error_rate,s2_throughput_performance,s3_spin_up_time,s4_start_stop_count,s5_reallocated_sector_count,s7_seek_error_rate,s8_seek_time_performance,s9_power_on_hours,s10_spin_retry_count,s12_power_cycle_count,s173_wear_leveling_count,s174_unexpected_power_loss_count,s183_sata_downshift_count,s187_reported_uncorrectable_errors,s188_command_timeout,s189_high_fly_writes,s190_airflow_temperature_cel,s191_g_sense_error_rate,s192_power_off_retract_count,s193_load_unload_cycle_count,s194_temperature_celsius,s195_hardware_ecc_recovered,s196_reallocated_event_count,s197_current_pending_sector,s198_offline_uncorrectable,s199_udma_crc_error_count,s200_multi_zone_error_rate,s220_disk_shift,s222_loaded_hours,s223_load_retry_count,s226_load_in_time,s240_head_flying_hours,s241_total_lbas_written,s242_total_lbas_read,
10,8.435498e-1,0e0,0e0,3.488134e-1,3.923163e-3,7.8256094e-1,0e0,6.595641e-1,0e0,4.3867922e-1,-3.6236164e-14,0e0,0e0,1.1801422e-3,1.3902368e-3,0e0,5.784386e-1,6.0374683e-1,3.1088337e-1,8.290243e-1,5.88979e-1,8.434718e-1,0e0,5.513609e-4,9.658531e-4,8.5255044e-5,0e0,0e0,-1.3538997e-3,0e0,-2.8136203e-1,6.932895e-1,3.8633552e-1,1.8730083e-2,
11,1.4275199e-1,0e0,0e0,2.3119764e-1,8.145496e-4,7.224274e-1,0e0,2.5804093e-1,0e0,2.8778875e-1,-3.6237343e-14,0e0,1.1588775e-4,2.7823818e-4,2.8777444e-3,0e0,3.611942e-1,4.856378e-4,8.4452e-2,5.7399815e-1,3.7717837e-1,3.559395e-2,0e0,1.6987912e-4,2.9758757e-4,1.1745916e-4,0e0,0e0,-1.3539235e-3,0e0,-2.813654e-1,2.650349e-1,3.4735206e-1,1.4764513e-2,
12,7.458267e-1,0e0,0e0,3.3721834e-1,4.5140405e-5,7.3226017e-1,0e0,7.988747e-1,0e0,4.2348796e-1,-3.6236507e-14,0e0,1.0197433e-1,5.9885415e-4,1.6043552e-13,1.5398198e-5,4.639699e-1,0e0,4.9411796e-2,7.2869134e-1,4.7736827e-1,0e0,0e0,6.022159e-4,1.0549386e-3,3.6126938e-5,0e0,0e0,-1.3539427e-3,0e0,-2.8135931e-1,8.380803e-1,2.645788e-1,1.9575134e-2,
13,4.8887658e-1,0e0,0e0,2.150968e-1,2.1276681e-4,7.187458e-1,0e0,2.1352328e-1,0e0,2.6812065e-1,-3.6237103e-14,0e0,4.106613e-5,2.2623726e-4,2.1119893e-3,0e0,3.8389874e-1,5.092613e-5,7.783855e-2,5.764005e-1,3.9931756e-1,0e0,0e0,1.6113941e-4,2.8227767e-4,1.1725856e-4,0e0,0e0,-1.3539173e-3,0e0,-2.8136626e-1,2.171133e-1,3.4358492e-1,1.3686719e-2,
14,1.2976151e-5,0e0,4.419553e-3,2.2940105e-1,1.28425645e-5,0e0,0e0,4.4894785e-1,0e0,2.8790846e-1,-3.6235934e-14,0e0,0e0,0e0,0e0,0e0,-3.8463566e-1,0e0,7.6887465e-1,5.6152564e-1,5.775473e-1,0e0,4.0293907e-4,7.210907e-4,1.4707103e-3,2.3558889e-5,0e0,0e0,-1.3538705e-3,0e0,-2.8136387e-1,0e0,-2.4013351e-9,-6.96689e-12,
15,4.9068195e-1,0e0,0e0,3.4253845e-1,2.4741425e-3,7.8299123e-1,0e0,6.6117835e-1,0e0,4.3061626e-1,-3.6235954e-14,0e0,0e0,7.2168274e-4,1.1240612e-3,0e0,5.5163205e-1,6.053725e-1,3.021224e-1,8.2846904e-1,5.628372e-1,4.906377e-1,0e0,3.2488882e-4,5.6912773e-4,8.552658e-5,0e0,0e0,-1.3538728e-3,0e0,-2.8136373e-1,6.9485396e-1,3.873766e-1,1.8635096e-2,
16,7.4852127e-1,0e0,0e0,3.2834405e-1,2.4875265e-4,7.2840506e-1,0e0,8.316798e-1,0e0,4.0814075e-1,-3.6235802e-14,0e0,7.042455e-2,3.603422e-4,1.8376949e-13,7.0311735e-6,1.8692333e-1,0e0,5.8453787e-2,7.608382e-1,2.0724884e-1,0e0,0e0,4.4805623e-4,7.848873e-4,8.1083446e-5,0e0,0e0,-1.353854e-3,0e0,-2.8136492e-1,8.719801e-1,2.8224966e-1,1.970487e-2,
17,0e0,0e0,7.2817576e-1,2.4071069e-1,2.338286e-6,0e0,0e0,2.7081096e-1,0e0,3.015484e-1,-3.623612e-14,0e0,0e0,0e0,0e0,0e0,-3.8463426e-1,5.027809e-1,1.17706954e-1,3.091777e-1,4.945157e-1,0e0,3.1924206e-5,3.263069e-6,4.4912326e-6,3.2490885e-4,0e0,2.2531039e-1,2.9950586e-1,0e0,7.138203e-1,0e0,-2.4013838e-9,-6.9668936e-12,
18,0e0,0e0,0e0,0e0,0e0,0e0,0e0,-1.891078e-4,0e0,0e0,-3.6237577e-14,0e0,0e0,0e0,0e0,0e0,-3.8461423e-1,0e0,0e0,0e0,-3.4999973e-1,0e0,0e0,0e0,0e0,0e0,0e0,0e0,-1.3539209e-3,0e0,-2.813567e-1,0e0,-2.4014482e-9,-6.967036e-12,
19,2.631552e-5,7.3697156e-1,3.187049e-2,3.207916e-1,1.98463e-6,5.011824e-5,3.4204277e-1,8.415499e-2,0e0,4.040663e-1,-3.623849e-14,0e0,0e0,0e0,0e0,0e0,-3.845963e-1,0e0,6.8093413e-1,4.9717486e-1,5.30098e-1,0e0,6.2268264e-5,8.802599e-5,1.3173991e-5,2.7076592e-4,0e0,0e0,-1.3539529e-3,0e0,-2.8135386e-1,0e0,9.059679e-5,7.635949e-6,
20,0e0,0e0,1.9318394e-1,3.4974942e-1,6.0888106e-4,0e0,0e0,6.312343e-1,0e0,4.4046947e-1,-3.6237787e-14,0e0,0e0,0e0,0e0,0e0,-3.846139e-1,1.8555976e-1,1.6437118e-1,5.547426e-1,4.2285347e-1,0e0,1.8125873e-3,5.1779463e-4,0e0,1.8020777e-5,0e0,0e0,7.039054e-1,0e0,1.00806445e-1,0e0,-2.4014373e-9,-6.967041e-12,
21,7.5049955e-1,0e0,0e0,3.0888397e-1,1.6950889e-3,7.9057205e-1,0e0,7.0109427e-1,0e0,3.867556e-1,-3.623628e-14,0e0,3.477211e-3,2.7089476e-4,7.8262936e-4,1.1807716e-3,3.0672523e-1,6.05302e-1,1.8039581e-1,8.487559e-1,3.2405487e-1,7.504326e-1,0e0,1.2862631e-4,2.2532263e-4,1.931137e-4,0e0,0e0,-1.3539139e-3,0e0,-2.8136113e-1,7.3619837e-1,3.9746106e-1,1.7196218e-2,
22,0e0,0e0,7.2939e-1,2.273157e-1,6.861378e-7,0e0,0e0,2.6602817e-1,0e0,2.8340778e-1,-3.6236862e-14,0e0,0e0,0e0,0e0,0e0,-3.846081e-1,1.5825456e-1,1.0746356e-1,2.9840693e-1,4.5127228e-1,0e0,1.7861435e-5,4.568297e-6,2.4007679e-5,1.9328299e-4,0e0,8.324533e-1,2.917542e-1,0e0,7.115795e-1,0e0,-2.4012607e-9,-6.966885e-12,
23,2.4945314e-1,0e0,0e0,3.2959902e-1,1.3041057e-4,7.325826e-1,0e0,7.988601e-1,0e0,4.1376027e-1,-3.6236554e-14,0e0,9.991444e-2,6.183215e-4,2.6281332e-13,8.496517e-6,4.6758318e-1,0e0,4.4525146e-2,7.241855e-1,4.8089185e-1,0e0,0e0,6.274288e-4,1.0991059e-3,2.4626876e-5,0e0,0e0,-1.3539486e-3,0e0,-2.8135896e-1,8.3833927e-1,2.6453018e-1,1.9596605e-2,
24,0e0,0e0,7.2946644e-1,1.9260423e-1,1.2922939e-6,0e0,0e0,2.0868418e-1,0e0,2.3790808e-1,-3.623897e-14,0e0,0e0,0e0,0e0,0e0,-3.8459277e-1,6.6172436e-2,8.520065e-2,2.8012195e-1,3.6524975e-1,0e0,2.011826e-5,1.868338e-5,2.4289311e-5,1.9836651e-4,0e0,1.0283958e-1,2.2017787e-1,0e0,6.9621456e-1,0e0,-2.4012263e-9,-6.966883e-12,
25,2.7116495e-5,0e0,3.970449e-2,3.8176775e-1,6.025161e-6,0e0,0e0,4.9595279e-1,0e0,4.6321994e-1,-3.62376e-14,0e0,0e0,0e0,0e0,0e0,-3.846229e-1,4.2179115e-3,7.1588415e-1,5.7471865e-1,4.2449853e-1,0e0,1.8904093e-4,4.4225258e-4,1.4253038e-3,7.0988695e-5,0e0,0e0,-1.2870661e-3,0e0,-2.8118137e-1,9.974653e-3,2.7688798e-3,1.3593555e-4,
26,2.4880931e-1,0e0,4.8180914e-4,3.2909882e-1,5.897037e-5,7.257442e-1,0e0,8.316099e-1,0e0,4.0758368e-1,-3.623582e-14,0e0,7.3634356e-2,3.3431235e-4,2.278329e-13,5.256149e-6,1.8548428e-1,0e0,5.8547903e-2,7.5818056e-1,2.0892847e-1,0e0,0e0,3.5665563e-4,6.2477554e-4,1.0873679e-4,0e0,0e0,-1.3538561e-3,0e0,-2.8136477e-1,8.7214524e-1,2.8125888e-1,1.97084e-2,
27,7.5505143e-1,0e0,0e0,3.6422506e-1,5.075323e-3,7.621942e-1,0e0,6.0566545e-1,0e0,4.4637766e-1,-3.6238143e-14,0e0,0e0,1.3101347e-3,2.4617123e-3,1.1661322e-3,3.312813e-1,6.3711387e-1,5.518238e-1,6.394502e-1,3.4799874e-1,7.549819e-1,0e0,3.9495726e-4,6.918705e-4,3.8200888e-5,0e0,0e0,-1.3539487e-3,0e0,-2.8135124e-1,6.3531315e-1,3.8997963e-1,1.9687511e-2,
28,7.965935e-1,0e0,0e0,2.530532e-1,1.1844588e-3,7.2952294e-1,0e0,3.1567845e-1,0e0,3.1292713e-1,-3.623652e-14,0e0,0e0,1.4262566e-4,1.4914634e-3,0e0,3.1896597e-1,1.277463e-3,1.0172752e-1,5.730755e-1,3.3599028e-1,7.965201e-1,0e0,2.4769566e-5,4.3390344e-5,1.0623155e-4,0e0,0e0,-1.3539442e-3,0e0,-2.8135923e-1,3.26538e-1,3.387096e-1,1.4993017e-2,
29,0e0,0e0,7.3088425e-1,2.5119796e-1,8.5475285e-6,0e0,0e0,3.1093612e-1,0e0,3.1440917e-1,-3.6239576e-14,0e0,0e0,0e0,0e0,0e0,-3.845884e-1,1.06449015e-1,1.2202654e-1,3.200792e-1,5.202528e-1,0e0,9.423353e-5,7.3866454e-6,2.5879272e-5,1.6898724e-4,0e0,1.00867316e-1,3.4442738e-1,0e0,7.186461e-1,0e0,-2.4012166e-9,-6.967101e-12,
30,2.4937712e-1,0e0,0e0,2.8770736e-1,7.9890154e-4,7.9456776e-1,0e0,7.457856e-1,0e0,3.6022872e-1,-3.623794e-14,0e0,1.5711583e-3,1.4425065e-4,3.812989e-13,0e0,3.1050724e-1,0e0,5.359652e-1,4.6531788e-1,3.2774463e-1,2.3649575e-1,0e0,6.3811116e-5,1.1178179e-4,7.687435e-7,0e0,0e0,-1.3539218e-3,0e0,-2.8135672e-1,7.844657e-1,4.093972e-1,1.6776137e-2,
31,3.3594844e-8,7.3679584e-1,2.9605914e-2,3.0160734e-1,5.2390596e-6,2.702574e-4,3.410243e-1,7.285847e-2,0e0,3.7989205e-1,-3.6238282e-14,0e0,0e0,0e0,0e0,0e0,-3.8459778e-1,0e0,8.5063905e-1,6.2107915e-1,5.584901e-1,0e0,1.6437683e-4,7.847044e-5,6.608721e-7,0e0,0e0,0e0,-1.3539477e-3,0e0,-2.8135592e-1,0e0,-2.4012377e-9,-6.9668837e-12,
32,2.3583278e-1,0e0,0e0,3.120706e-1,1.8603783e-3,7.9009366e-1,0e0,7.071532e-1,0e0,3.9052576e-1,-3.6236337e-14,0e0,4.0028743e-3,2.6284534e-4,8.4980763e-4,3.3039963e-4,3.04416e-1,6.0687375e-1,1.8005887e-1,8.4868884e-1,3.2180306e-1,2.3581089e-1,0e0,1.0102407e-4,1.7697008e-4,3.242656e-4,0e0,0e0,-1.3539211e-3,0e0,-2.8136066e-1,7.425767e-1,4.0015832e-1,1.7283423e-2,
